"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","dates"
"1",91,0,8.95980139394292,13.0119809553336,16.1002321978196,19.4958952125867,20.7498788352957,20.7490279123277,18.9099083114808,17.4285221409116,17.367123299606,17.3686595766948,NA
"2",91,60,6.33918626525871,11.5570181875818,14.7969592754508,18.5589986057993,20.0939396722775,20.3917603174783,18.9856975572282,17.4568656195368,17.3673940827743,17.3686595766948,1997-04-01
"3",91,120,5.62321114500961,10.6853646134424,13.754858466149,17.682479235203,19.4513473166964,20.0113106760189,19.0221410465957,17.4854120735856,17.3677645928706,17.3686595766948,1997-04-01
"4",91,180,4.9880437343605,10.0083975700626,12.9619300539239,16.8895471338022,18.8317358620323,19.6173974495527,19.0227978884921,17.5134589237659,17.3682336275312,17.3686595766948,1997-04-01
"5",91,240,4.49376496762115,9.46194853673698,12.3157585375343,16.1666950321516,18.2430813416672,19.2191327049108,18.9913981441221,17.5404075906541,17.368797651837,17.3686595766948,1997-04-01
"6",91,300,4.17716348142105,9.03278001407824,11.7706251207672,15.5091403671123,17.6874366210173,18.8232770040585,18.9318472630988,17.5657443404657,17.3694511587489,17.3686595766948,1997-04-01
"7",91,360,4.01493498366255,8.78636157099907,11.3044675392395,14.9205292178266,17.1672490116195,18.4349239456616,18.848063156841,17.5890397407377,17.370187042072,17.3686595766948,1997-04-01
"8",91,420,9.13087909229143,9.81548124596443,11.3473231507056,14.4466790716555,16.6893652944729,18.0580229144461,18.743797628622,17.6099397947424,17.3709967949741,17.3686595766948,1997-04-01
"9",91,480,14.4116188963175,12.2158856462968,12.3965921902344,14.3364213477823,16.3157901407393,17.704544008022,18.6228788686407,17.6281692919233,17.3718708694313,17.3686595766948,1997-04-01
"10",91,540,19.5675263744926,14.878213291571,13.9982389941276,14.6561039691376,16.1295962254127,17.4051392819802,18.4904563676199,17.6435403722207,17.3727990004203,17.3686595766948,1997-04-01
"11",91,600,26.0223147902345,17.6115612532182,15.9257630663371,15.3311476772464,16.1594212644435,17.1936999958573,18.3538953469054,17.6559857420325,17.3737706836389,17.3686595766948,1997-04-01
"12",91,660,37.7408670235645,21.8850021871678,18.7126258864584,16.404027062786,16.4150964980686,17.0942189740113,18.2219312527731,17.6655897301416,17.3747752878758,17.3686595766948,1997-04-01
"13",91,720,45.0065997921513,25.7979842235417,21.8392667627642,17.9395000860066,16.9486222780554,17.1326877950523,18.1042575223213,17.6726052761839,17.3758030502258,17.3686595766948,1997-04-01
"14",91,780,48.1615644100843,28.7601974768866,24.6365405753572,19.703409319864,17.7428545108091,17.3324941723124,18.0116105747458,17.6774680599969,17.3768454255807,17.3686595766948,1997-04-01
"15",91,840,48.3155981392239,30.7789953695329,26.8278676532721,21.4330662765341,18.7033342366132,17.6914156898614,17.9544732480113,17.6808022337514,17.3778958333237,17.3686595766948,1997-04-01
