"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","dates"
"1",91,0,21.4298253175411,23.4257511940311,25.1618991629523,27.8325592837296,29.4223774909567,30.1942039925838,30.2033645948503,29.3866831624708,26.2262595240662,18.9759080940204,NA
"2",91,60,9.72338073626674,16.7528039012112,21.7854218099889,26.7224553682877,28.8608709114417,29.8641986227036,30.1482788898638,29.3766200034986,26.2245667207319,18.9759080940204,2022-04-01
"3",91,120,8.35428986284576,14.1511452476293,18.8708475338592,24.996004683443,28.0208926643232,29.4574370352427,30.0665263834615,29.365419369341,26.2228334206735,18.9759080940204,2022-04-01
"4",91,180,7.18117147615613,12.4767836752549,16.9342314778431,23.392129021251,27.0376596104874,28.940016761489,29.9522799204055,29.3525225116485,26.2210563582437,18.9759080940204,2022-04-01
"5",91,240,6.63579019686516,11.3379052902014,15.5038406359802,22.0049901839713,26.0439957969685,28.3424402054382,29.8010801244757,29.3372637757559,26.2192292625235,18.9759080940204,2022-04-01
"6",91,300,6.04209202452554,10.4953512506739,14.4408806282687,20.8309936253569,25.0974426447611,27.7036408828657,29.6128936809469,29.3189461951543,26.2173435357791,18.9759080940204,2022-04-01
"7",91,360,5.53295782923521,9.97175373525704,13.5475701604003,19.8284467061685,24.2193593925119,27.055131555852,29.3910528460089,29.2969257099239,26.2153871280138,18.9759080940204,2022-04-01
"8",91,420,6.06175001010904,9.66862056862624,12.9633909107582,18.9762322050566,23.4145948668179,26.4171619645286,29.1407258548458,29.2706658424949,26.2133455673282,18.9759080940204,2022-04-01
"9",91,480,6.97579849621436,9.84707839983014,12.7140249037114,18.3056142361438,22.6940739940799,25.8031044056013,28.8675457893928,29.2397663066007,26.2112036823743,18.9759080940204,2022-04-01
"10",91,540,7.92090253986614,10.2818036138397,12.7510504721241,17.8318043247815,22.0747146996356,25.2261431036366,28.5774746900584,29.2039585660365,26.2089440053068,18.9759080940204,2022-04-01
