"","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm","dates"
"1",91,0,1.12805511469605,5.83591710023604,9.18166936828294,13.7406010635905,16.3104723823358,17.6866671137474,18.3682126118157,18.7980392719562,18.9703059954256,18.9759080940204,NA
"2",91,60,2.94580981311623,5.44969528998239,7.936514966821,12.9661011743902,15.7712032605978,17.3340287018866,18.3158906636135,18.790782298425,18.9696873699956,18.9759080940204,2022-04-01
"3",91,120,2.70340581669357,5.13875795596301,7.43783355382351,12.193330680068,15.1990968008654,16.961123018223,18.2403112275497,18.7825454221538,18.969044615854,18.9759080940204,2022-04-01
"4",91,180,2.10614073063347,4.85275948755498,7.11033141278543,11.5326042548805,14.6381014276116,16.5730875575864,18.1426038550043,18.7729316882988,18.9683737573885,18.9759080940204,2022-04-01
"5",91,240,1.72465196453776,4.55054455796288,6.75902361967503,10.9941893585307,14.114416905739,16.1803990578881,18.0245140655018,18.7615839734668,18.9676695659636,18.9759080940204,2022-04-01
"6",91,300,1.41770319560519,4.2333659318142,6.41825952524629,10.5263289463512,13.6371442626575,15.7950683032694,17.8886263688238,18.7481904421659,18.9669255904774,18.9759080940204,2022-04-01
"7",91,360,1.24978688912463,3.95643904808852,6.09314399540461,10.1032429017357,13.2001417428803,15.4236877488098,17.7379351024554,18.7325027317583,18.9661344311897,18.9759080940204,2022-04-01
"8",91,420,3.05272417314324,4.45951169091172,6.04930324999354,9.74683828234063,12.8000159524797,15.068976874059,17.5754205879463,18.7143350598359,18.9652879563225,18.9759080940204,2022-04-01
"9",91,480,6.63968772898999,6.2773801450895,6.82594700089889,9.63473417806039,12.472590474432,14.7368322951198,17.4039726358278,18.6935603087196,18.964377527226,18.9759080940204,2022-04-01
"10",91,540,10.5475997278394,8.87630884850875,8.41186558344143,9.92787262447432,12.2953892056698,14.4481873789194,17.2271844523334,18.6701125321452,18.9633942133074,18.9759080940204,2022-04-01
"11",91,600,14.0651650843362,11.5768599783852,10.3730030267789,10.6085778397036,12.324101950045,14.235383520011,17.0504700365037,18.6440091523606,18.9623290461794,18.9759080940204,2022-04-01
"12",91,660,16.9642775957615,14.0474566276132,12.3971549317073,11.5560026061209,12.5595418817476,14.1254228478337,16.8810934834815,18.6153844238572,18.9611733742146,18.9759080940204,2022-04-01
"13",91,720,17.8478352987288,15.7064903054073,14.0889656135478,12.6131456762042,12.9627715375395,14.1294644363472,16.7270192670512,18.5845104251859,18.9599193164857,18.9759080940204,2022-04-01
"14",91,780,18.3157814080884,16.5703634853198,15.1773871836335,13.5596315646503,13.4531341701351,14.2384358024111,16.5953815993991,18.5517920913837,18.9585602440886,18.9759080940204,2022-04-01
"15",91,840,17.8745368100847,16.8097861499601,15.8153305637108,14.3147593465309,13.9469167247809,14.4233434933782,16.4908723950644,18.5177337635484,18.9570911768201,18.9759080940204,2022-04-01
"16",91,900,16.5338395350203,16.2254368695488,15.8977603959738,14.8195987152364,14.3857227520557,14.6485689533778,16.4149309000997,18.4828823907467,18.9555090349785,18.9759080940204,2022-04-01
"17",91,960,13.7510735155595,14.7054294797939,15.315085902193,15.0050433456208,14.7149846567764,14.8775209230434,16.36587845905,18.4477682888561,18.953812658731,18.9759080940204,2022-04-01
"18",91,1020,9.75787829418359,12.5223571320321,13.9978611937509,14.800619070138,14.8794671991942,15.0728836513419,16.3391956489049,18.4128497088535,18.9520026903808,18.9759080940204,2022-04-01
"19",91,1080,5.8472283113395,9.74141526479515,12.1712313436224,14.2063835818563,14.8388021028253,15.1981536193146,16.3278211998673,18.3784726120103,18.9500810135148,18.9759080940204,2022-04-01
"20",91,1140,3.5242284815367,7.31235806276191,10.1969484725082,13.3054896990225,14.5859505088137,15.2247613922529,16.3227719327013,18.3448210231074,18.9480505914592,18.9759080940204,2022-04-01
"21",91,1200,2.41655462642657,5.75737638106877,8.62171998817412,12.3139925214182,14.1675017611358,15.1408882887109,16.3144170887464,18.3119034336069,18.9459146412734,18.9759080940204,2022-04-01
"22",91,1260,1.71133537011681,4.76413343766814,7.48670163906417,11.4013935823274,13.6669810998022,14.958832792853,16.2943616501157,18.2795597899245,18.9436760742053,18.9759080940204,2022-04-01
"23",91,1320,1.16480698611002,4.03505541061029,6.6279428942497,10.6108064602676,13.1488788768853,14.7061220720423,16.2570538550012,18.2475045097063,18.9413369746766,18.9759080940204,2022-04-01
"24",91,1380,0.713525604685971,3.454058732785,5.94035805131844,9.92874276766956,12.64465690327,14.4107222754292,16.2000432792514,18.2153862780095,18.9388982714922,18.9759080940204,2022-04-01
"25",92,0,0.574483857664956,3.05448403827327,5.35852612732597,9.28750893830872,12.1486040436105,14.0908981847975,16.1231491729453,18.1828403619138,18.9363596048878,18.9759080940204,NA
"26",92,60,-1.48513990148929,1.77686422422695,4.54274345743657,8.71447497677553,11.6774801783627,13.7556306544475,16.0267542034814,18.1494885669233,18.9337195489425,18.9759080940204,2022-04-02
"27",92,120,0.100000001490116,0.961866399985274,3.70893577916598,8.08230133701514,11.2067280923944,13.4162713971369,15.9128077549234,18.1150304118113,18.9309749286519,18.9759080940204,2022-04-02
"28",92,180,0.100000001490116,0.209126557229024,2.82250813870205,7.42512958259265,10.721348384699,13.0700550769013,15.7830893051589,18.0791851397327,18.9281218965537,18.9759080940204,2022-04-02
"29",92,240,0.100000001490116,-0.331219936185747,2.29314093598148,6.8288053836221,10.2374650285314,12.7149288614636,15.6388645156145,18.0416997516324,18.9251556703231,18.9759080940204,2022-04-02
"30",92,300,0.100000001490116,-0.651598199859022,1.91552191852249,6.3351145766517,9.78120534145171,12.3575159168345,15.4815382761722,18.0023690489948,18.9220707101757,18.9759080940204,2022-04-02
"31",92,360,0.100000001490116,-0.684993284159054,1.61441419498869,5.92116056957842,9.3635665779959,12.0065815614046,15.3129434592231,17.9610152902876,18.918860825027,18.9759080940204,2022-04-02
"32",92,420,0.100000001490116,0.079456773052034,1.69290671709603,5.59879210760932,8.98629099789358,11.6690576029406,15.1352990227898,17.9175017767054,18.9155192808757,18.9759080940204,2022-04-02
"33",92,480,3.38063594062566,2.39776716212691,2.67083757332822,5.54766284678778,8.68970937209147,11.3537110409576,14.9510982128143,17.8717393294535,18.9120389617182,18.9759080940204,2022-04-02
"34",92,540,8.54206256090143,5.81991187277052,4.72438021118175,5.99006008961006,8.56500557863434,11.0854260483007,14.7638375543465,17.8237005053648,18.908412646159,18.9759080940204,2022-04-02
"35",92,600,12.9145464558342,9.41028894696685,7.34764087366163,6.94622465081579,8.69325087373031,10.9049284949458,14.5793275509136,17.7734397493375,18.9046331652241,18.9759080940204,2022-04-02
"36",92,660,16.5045853022421,12.6419869872048,10.0046743687082,8.25175387075554,9.08567465044783,10.8496660679239,14.4059899289603,17.7211414027321,18.9006937979656,18.9759080940204,2022-04-02
"37",92,720,18.6924699955094,15.1813749788508,12.399918226606,9.71817054620522,9.69446985347704,10.9366706457433,14.253485124446,17.6671530081479,18.8965887865557,18.9759080940204,2022-04-02
"38",92,780,19.5486554786867,16.7419402606903,14.202673723854,11.1382994749083,10.4391475149953,11.1594273253887,14.1307274728961,17.6119851399327,18.8923139113779,18.9759080940204,2022-04-02
"39",92,840,20.0904504638451,17.6741552777692,15.4254177461046,12.3551174119142,11.2218184074199,11.4896934817985,14.0441302344885,17.5562769274941,18.8878669968318,18.9759080940204,2022-04-02
